"id","value_bool","value_num","value_str","value_date","last_update","last_archive_id","last_archive_value_num","last_archive_value_str","shift_end_value_bool","shift_end_value_num","shift_end_value_str","shift_end_date","attr_jsonb"
"10","","80","","","2018-03-12 13:28:01.751+01","","","","","80","","2017-06-21 09:00:00+02","null"
"11","","85","","","2018-04-19 11:48:10.347+02","5138465","","","","60","","2017-06-23 08:00:00+02","null"
"12","","85.5","","2018-03-09 12:01:00+01","2018-03-12 11:25:45.22+01","3762086","","","","","","","null"
"13","","11","","2018-03-12 17:00:00+01","2018-03-12 15:27:40.542+01","3762218","","","","","","","null"
"14","","500","","","2017-09-21 12:08:33.295+02","1151946","","","","","","","null"
"15","","81","","","2018-05-04 11:48:48.147+02","","","","","","","2018-06-07 22:00:00+02","null"
"16","","22","","","2018-04-17 14:10:47.768+02","4998650","","","","","","","null"
"22","","4","","","2018-05-28 13:45:55.135+02","","","","","","","2018-06-07 22:00:00+02","null"
"28","","","","","","","","","","","","","null"
"29","","","","","","","","","","","","","null"
"30","","23","","","2018-01-12 13:21:36.795+01","","","","","","","","null"
"31","","","","","","","","","","","","","null"
"32","","","","","","","","","","","","","null"
"33","","22","","","2017-09-21 09:30:20.084+02","","","","","","","","null"
"34","","230","","","2017-09-20 14:58:38.266+02","","","","","","","","null"
"35","","112345","","","2017-11-17 10:07:05.979+01","","","","","","","","null"
"36","","","","","","","","","","","","","null"
"37","","16","","","2017-11-17 10:07:06.007+01","","","","","","","","null"
"38","","","","","","","","","","","","","null"
"39","","","","","","","","","","","","","null"
"40","","","","","","","","","","","","","null"
"41","","","","","","","","","","","","","null"
"42","","","","","","","","","","","","","null"
"43","","","","","","","","","","","","","null"
"44","","","","","","","","","","","","","null"
"45","","","","","","","","","","","","","null"
"46","","","","","","","","","","","","","null"
"47","","270","","","2017-09-20 14:51:57.437+02","","","","","","","","null"
"48","","","","","","","","","","","","","null"
"49","","","","","","","","","","","","","null"
"50","","","","","","","","","","","","","null"
"51","","","","","","","","","","","","","null"
"52","","","","","","","","","","","","","null"
"53","","","","","","","","","","","","","null"
"54","","576","","","2017-12-20 11:20:39.525+01","","","","","","","","null"
"55","","","","","","","","","","","","","null"
"56","","","","","","","","","","","","","null"
"57","","","","","","","","","","","","","null"
"58","","","","","","","","","","","","","null"
"59","","","","","","","","","","","","","null"
"60","","","","","","","","","","","","","null"
"61","","","","","","","","","","","","","null"
"62","","","","","","","","","","","","","null"
"63","","","","","","","","","","","","","null"
"64","","2","","","2018-01-11 15:27:13.088+01","","","","","","","","null"
"65","","","","","","","","","","","","","null"
"66","","","","","","","","","","","","","null"
"67","","","","","","","","","","","","","null"
"68","","","","","","","","","","","","","null"
"69","","","","","","","","","","","","","null"
"70","","","","","","","","","","","","","null"
"71","","","","","","","","","","","","","null"
"72","","","","","","","","","","","","","null"
"73","","","","","","","","","","","","","null"
"74","","9","","","2017-09-25 15:58:09.135+02","","","","","","","","null"
"75","","","","","","","","","","","","","null"
"76","","","","","","","","","","","","","null"
"77","","0.5","","","2017-02-09 08:47:00.588+01","","","","","","","","null"
"78","","","","","","","","","","","","","null"
"79","","","","","","","","","","","","","null"
"80","","","","","","","","","","","","","null"
"81","","","","","","","","","","","","","null"
"82","","","","","","","","","","","","","null"
"85","","0","","","2017-07-25 15:42:54.891+02","","","","","","","","null"
"100","","","","","","","","","","","","","null"
"129","1","","","","2018-04-06 17:55:20.844+02","","","","","","","","null"
