"id","connection","value_type","value_format","unit","custom_axis","warning_high","warning_low","alarm_high","alarm_low","comp_target_var","product","variant_set","value_symbol","name_0","name_1","description_0","description_1","archive","delta","output","allow_update_output","request_comment","numval_format","config_incomplete","offset_sec","factor","comp","comp_recalc","archive_type","plcoperand","from_import","value_max","value_min","value_setpoint","name_2","name_3","name_4","description_2","description_3","description_4","color_class_id","parent","attr_jsonb"
"10","-1","9","1","","","","","","","","","","","Sapient Test Only Current","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"11","-1","9","1","","","","","","","","","","","Sapient Test Archive, No. 2","","","","1","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"12","-1","9","1","","","","","","","","","","","Gateway Test Archive","","","","1","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"13","-1","4","1","","","295","","","","","","","","Gateway Test Num","GW Test Num","","","1","","","","0","","0","0","1","0","0","","","","295","294","","","","","","","","","","null"
"14","-1","9","1","","","","","","","","","","","Gateway Test Num","","","","1","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"15","1","5","1","","","","","","","","","","int.stk1","Counter","Counter","","","0","","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"16","-1","0","1","","","","","","","","","","","Sapient Test Archive","","","","1","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"22","26","0","1","","","","","","","","","","ADTest1.V1","ADTest1.V1","ADTest1.V1","","","1","21","0","0","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"28","-199","-1","1","-110","","","","","","","","","online.[90].preal","online.[90].preal","online.[90].preal","","","0","","0","0","0","d#0","0","0","1","0","0","","","","","","","","","","","","","","","null"
"29","-325","-1","1","-15","","","","","","","","","online.[90].ns_mda","online.[90].ns_mda","online.[90].ns_mda","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"30","-324","-1","1","-15","","","","","","","","","online.[90].srt_mda","online.[90].srt_mda","online.[90].srt_mda","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"31","-323","-1","1","-15","","","","","","","","","online.[90].mt_mda","online.[90].mt_mda","online.[90].mt_mda","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"32","-322","-1","1","-15","","","","","","","","","online.[90].ret_mda","online.[90].ret_mda","online.[90].ret_mda","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"33","-321","-1","1","-15","","","","","","","","","online.[90].fts_mda","online.[90].fts_mda","online.[90].fts_mda","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"34","-320","-1","1","-15","","","","","","","","","online.[90].fto_mda","online.[90].fto_mda","online.[90].fto_mda","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"35","-319","-1","1","-15","","","","","","","","","online.[90].ftt_mda","online.[90].ftt_mda","online.[90].ftt_mda","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"36","-318","-1","1","-15","","","","","","","","","online.[90].lt_mda","online.[90].lt_mda","online.[90].lt_mda","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"37","-317","-1","1","-15","","","","","","","","","online.[90].sut_mda","online.[90].sut_mda","online.[90].sut_mda","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"38","-316","-1","1","-15","","","","","","","","","online.[90].ddt_mda","online.[90].ddt_mda","online.[90].ddt_mda","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"39","-315","-1","1","-15","","","","","","","","","online.[90].uddt_mda","online.[90].uddt_mda","online.[90].uddt_mda","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"40","-314","-1","1","-15","","","","","","","","","online.[90].pt_mda","online.[90].pt_mda","online.[90].pt_mda","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"41","-313","-1","1","-15","","","","","","","","","online.[90].mtbf_mda","online.[90].mtbf_mda","online.[90].mtbf_mda","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"42","-312","-1","1","-15","","","","","","","","","online.[90].mttr_mda","online.[90].mttr_mda","online.[90].mttr_mda","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"43","-310","-1","1","-60","","","","","","","","","online.[90].oee_mda","online.[90].oee_mda","online.[90].oee_mda","","","0","","0","0","0","d##.#","0","0","1","0","0","","","","","","","","","","","","","","","null"
"44","-309","-1","1","-60","","","","","","","","","online.[90].qr","online.[90].qr","online.[90].qr","","","0","","0","0","0","d##.#","0","0","1","0","0","","","","","","","","","","","","","","","null"
